indicator,País__ESTANDAR,Sexo,Grupos quinquenales de edad,Años__ESTANDAR,value,unit,notes_ids,source_id
"Población, por grupos de edad, según sexo",Colombia,Mujeres,45-49,2020,"1572,3","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Colombia,Mujeres,45-49,2025,"1718,9","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Colombia,Mujeres,50-54,2020,"1529,8","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Colombia,Mujeres,50-54,2025,"1547,2","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Colombia,Mujeres,55-59,2020,"1414,1","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Colombia,Mujeres,55-59,2025,"1494,2","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Colombia,Mujeres,60-64,2020,"1157,4","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Colombia,Mujeres,60-64,2025,"1364,0","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Colombia,Mujeres,65-69,2020,"883,5","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Colombia,Mujeres,65-69,2025,"1095,5","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Colombia,Mujeres,70-74,2020,"634,0","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Colombia,Mujeres,70-74,2025,"811,4","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Colombia,Mujeres,75-79,2020,"433,0","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Colombia,Mujeres,75-79,2025,"553,9","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Colombia,Mujeres,80-84,2020,"266,1","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Colombia,Mujeres,80-84,2025,"338,4","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Colombia,Mujeres,85-89,2020,"129,9","Miles de personas, a mitad del año",,6547
